index,name,date_of_birth,height,weight,spike,block,position_number
1,Ilaria Bonvicini,28/02/1997,160,52,261,243,2
2,Carlotta Cambi,28/05/1996,177,66,302,292,1
3,Sofia D'odorico,06/01/1997,187,78,312,302,2
4,Alessia Orro,18/07/1998,180,74,308,231,1
5,Sara Bonifacio,03/07/1996,188,76,320,300,3
6,Anna Danesi,20/04/1996,195,75,312,246,3
7,Anastasia Guerra,15/10/1996,187,80,314,239,2
8,Chiara De Bortoli,28/07/1997,180,68,302,286,6
9,Paola Ogechi Egonu,18/12/1998,190,70,336,256,4
10,Beatrice Berti,12/01/1996,193,87,304,288,3
11,Anna Nicoletti,03/01/1996,193,86,306,290,4
12,Elisa Zanette,17/02/1996,193,86,304,288,4
