index,name,date_of_birth,height,weight,spike,block,position_number
1,Jovana Kocic,24/02/1998,190,85,290,285,3
2,Aleksandra Cirovic,30/09/1997,175,57,285,275,1
3,Sara Lozo,29/04/1997,186,61,295,290,4
4,Katarina Marinkovic,04/04/1996,186,72,298,285,2
5,Jelena Vignjevic,07/06/1996,180,63,285,280,1
6,Maja Aleksic,06/06/1997,188,72,290,285,3
7,Katarina Lazovic,12/09/1999,182,65,285,275,2
8,Bojana Milenkovic,06/03/1997,185,70,294,288,2
9,Aleksandra Tadic,24/12/1997,174,60,270,265,6
10,Sara Vucicevic,29/04/1997,186,66,287,282,3
11,Milena Dimic,31/08/1997,170,64,255,250,6
12,Marija Vujnovic,11/05/1997,182,65,290,276,2
