name,date_of_birth,height,weight,spike,block,position_number
Melis Yilmaz,28/06/1997,165,52,260,259,6
Cansu Ozbay,17/10/1996,182,75,285,284,1
Ayca Aykac,27/02/1996,176,54,280,279,6
Rida Erlalelitepe,22/07/1996,183,70,293,290,2
Ada Germen,24/06/1997,182,62,285,283,2
Zehra Gunes,07/07/1999,194,82,309,255,3
Humay Topaloglu,03/08/1996,180,63,295,293,2
Yagmur Mislina Kilic,30/03/1996,189,66,283,280,2
Cemre Janset Erkul,12/01/1997,184,65,298,295,3
Arelya Karasoy,14/12/1996,181,73,287,280,1
Arelya Karasoy,14/12/1996,181,73,287,280,1
Su Zent,25/03/1996,184,70,305,303,3
