index,name,date_of_birth,height,weight,spike,block,position_number
1,Haiping Sun,23/05/1996,180,65,300,292,1
2,Mingyuan Hu,17/05/1996,187,69,305,297,3
3,Zixuan Meng,18/11/1996,180,62,298,290,6
4,Ye Jin,01/03/1996,187,77,310,302,2
5,Qingqing Du,18/12/1996,189,72,312,300,2
6,Qian Zhang,20/02/1997,193,70,313,302,3
7,Jiayi Huang,16/08/1996,173,60,285,275,6
8,Wanqianbai Rong,01/01/1997,184,75,304,297,1
9,Yuanyuan Wang,14/07/1997,195,75,312,300,3
10,Xiangyu Gong,21/04/1997,186,72,313,302,4
11,Xinyi Zhou,17/03/1997,187,69,307,300,2
12,Yi Yang,19/03/1997,184,70,308,300,4
