name,date_of_birth,height,weight,spike,block,position_number
Jovana Kocic,24/02/1998,190,85,290,285,3
Aleksandra Cirovic,30/09/1997,175,57,285,275,1
Sara Lozo,29/04/1997,186,61,295,290,4
Katarina Marinkovic,04/04/1996,186,72,298,285,2
Jelena Vignjevic,07/06/1996,180,63,285,280,1
Maja Aleksic,06/06/1997,188,72,290,285,3
Katarina Lazovic,12/09/1999,182,65,285,275,2
Bojana Milenkovic,06/03/1997,185,70,294,288,2
Aleksandra Tadic,24/12/1997,174,60,270,265,6
Sara Vucicevic,29/04/1997,186,66,287,282,3
Milena Dimic,31/08/1997,170,64,255,250,6
Marija Vujnovic,11/05/1997,182,65,290,276,2
