index,name,date_of_birth,height,weight,spike,block,position_number
1,Angelina Lazarenko,13/04/1998,193,80,320,305,3
2,Svetlana Serbina,15/05/1996,182,71,295,284,1
3,Ekaterina Shkurikhina,17/06/1996,190,72,306,296,2
4,Kristina Kurnosova,17/06/1997,176,62,288,278,6
5,Ekaterina Novikova,07/12/1996,181,70,290,275,1
6,Victoria Zhurbenko,17/03/1996,186,67,306,297,3
7,Angelina Sperskaite,11/02/1997,188,72,305,295,2
8,Anastasiia Barchuk,09/02/1996,187,78,305,297,3
9,Anastasiia Cheremisina,14/01/1996,187,80,305,298,2
10,Anna Lazareva,31/01/1997,190,67,315,300,4
11,Tatiana Iurinskaia,25/01/1996,195,69,305,275,2
12,Sabina Gilfanova,14/02/1996,187,79,300,296,4
